phase	case	exit	started	ended	duration_s
training	7.2b_trainer	0	2026-07-21T06:44:59+08:00	2026-07-21T06:45:33+08:00	34
validation	0.1b_batch_cache_postfix	0	2026-07-20T23:42:10+08:00	2026-07-20T23:44:46+08:00	156
validation	0.1b_chunked_prefill_postfix	0	2026-07-20T23:45:00+08:00	2026-07-20T23:45:15+08:00	15
validation	0.1b_dynamic_cache_postfix	0	2026-07-20T23:44:46+08:00	2026-07-20T23:45:00+08:00	14
validation	0.4b_batch_cache_postfix	0	2026-07-20T23:45:15+08:00	2026-07-20T23:45:33+08:00	18
validation	0.4b_chunked_prefill_postfix	0	2026-07-20T23:45:48+08:00	2026-07-20T23:46:06+08:00	18
validation	0.4b_dynamic_cache_postfix	0	2026-07-20T23:45:33+08:00	2026-07-20T23:45:48+08:00	15
validation	1.5b_batch_cache_postfix	0	2026-07-20T23:46:06+08:00	2026-07-20T23:46:25+08:00	19
validation	1.5b_chunked_prefill_postfix	0	2026-07-20T23:46:42+08:00	2026-07-20T23:47:01+08:00	19
validation	1.5b_dynamic_cache_postfix	0	2026-07-20T23:46:25+08:00	2026-07-20T23:46:42+08:00	17
validation	13.3b-g1g_batch_cache_postfix	0	2026-07-20T23:49:33+08:00	2026-07-20T23:50:06+08:00	33
validation	13.3b-g1g_chunked_prefill_postfix	0	2026-07-20T23:50:06+08:00	2026-07-20T23:50:47+08:00	41
validation	13.3b-g1h_batch_cache_postfix	0	2026-07-20T23:50:47+08:00	2026-07-20T23:51:23+08:00	36
validation	13.3b-g1h_chunked_prefill_postfix	0	2026-07-20T23:51:23+08:00	2026-07-20T23:52:00+08:00	37
validation	2.9b_batch_cache_postfix	0	2026-07-20T23:47:01+08:00	2026-07-20T23:47:23+08:00	22
validation	2.9b_chunked_prefill_postfix	0	2026-07-20T23:47:44+08:00	2026-07-20T23:48:06+08:00	22
validation	2.9b_dynamic_cache_postfix	0	2026-07-20T23:47:23+08:00	2026-07-20T23:47:44+08:00	21
validation	7.2b_batch_cache_postfix	0	2026-07-20T23:48:06+08:00	2026-07-20T23:48:35+08:00	29
validation	7.2b_chunked_prefill_postfix	0	2026-07-20T23:49:05+08:00	2026-07-20T23:49:33+08:00	28
validation	7.2b_dynamic_cache_postfix	0	2026-07-20T23:48:35+08:00	2026-07-20T23:49:05+08:00	30
validation	fast_decode_bundle	0	2026-07-21T08:26:07+08:00	2026-07-21T08:26:07+08:00	0
validation	pytest_gpu_postfix	0	2026-07-21T08:24:15+08:00	2026-07-21T08:25:10+08:00	55
